event_name	task	subject	session	run	video_id	class_name	raw_superclass_name	superclass_level0	superclass_level1	superclass_level2	class_id	superclass_id	is_resp	stim_is_sports	resp_is_sports	resp_is_right	resp_time
video_on	action	14	meg	1	Jx-R6LssX0c	Triple jump	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Playing sports	155	1	True	True	True	True	0.3882497128462319
video_on	action	14	meg	1	yAUFCiTO6oo	Grooming horse	Animals&Pets	Household Activities	Animals and Pets	Walking / exercising / playing with animals	95	8	True	False	False	True	0.7966096987790934
video_on	action	14	meg	1	_Ry-RE_unC4	Elliptical trainer	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Using cardiovascular equipment	308	1	True	True	True	True	0.5875010754116374
video_on	action	14	meg	1	BrIAU34oYCs	Swinging at the playground	Arts&Entertainment	Socializing, Relaxing, and Leisure	Arts and Entertainment	Park activities	378	2	True	False	False	True	0.4128195104575525
video_on	action	14	meg	1	y473vyH0lCM	Hopscotch	Relaxing&Leisure	Socializing, Relaxing, and Leisure	Relaxing and Leisure	Playing games	241	3	True	False	False	True	0.6930118619790164
video_on	action	14	meg	1	2g-Ec4DJbCY	Brushing hair	Grooming	Personal Care	Grooming	Washing, dressing and grooming oneself	125	4	True	False	False	True	0.3331871276622564
video_on	action	14	meg	1	m2cfODI0V_M	Kayaking	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Participating in water sports	254	1	True	True	True	True	0.3652405827900793
video_on	action	14	meg	1	JCS4VPcSrIg	Tai chi	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Participating in martial arts	263	1	True	True	False	False	0.5095449763560396
video_on	action	14	meg	1	4IZ30BQDJ-o	Paintball	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Playing sports	141	1	True	True	True	True	0.3438826812691218
video_on	action	14	meg	1	YOD_R470UPs	Polishing forniture	Housework	Household Activities	Housework	Interior cleaning	156	6	True	False	False	True	0.6538167679691469
video_on	action	14	meg	1	PgUnHSpJ6Bw	Using the rowing machine	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Using cardiovascular equipment	384	1	True	True	True	True	0.3982189673935181
video_on	action	14	meg	1	B4-G_QAu-po	Playing racquetball	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Playing racquet sports	253	1	True	True	True	True	0.4963532602707232
video_on	action	14	meg	1	50BpWno7itc	Longboarding	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Playing sports	331	1	True	True	True	True	0.0053509464377157
video_on	action	14	meg	1	ejUU2esWW9k	Playing badminton	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Playing racquet sports	268	1	True	True	True	True	0.4005409509205151
video_on	action	14	meg	1	nd9A27JIxB4	Decorating the Christmas tree	Interior_maintenance&Repair&Decoration	Household Activities	Interior Maintenance, Repair, & Decoration	Interior arrangement, decoration, & repairs	302	7	True	False	False	True	0.4305338418835163
video_on	action	14	meg	1	9XfITFpENNk	Brushing teeth	Grooming	Personal Care	Grooming	Washing, dressing and grooming oneself	148	4	True	False	False	True	0.438638143982871
video_on	action	14	meg	1	cHHyEBOTGiw	Drum corps	Arts&Entertainment	Socializing, Relaxing, and Leisure	Arts and Entertainment	Playing musical instruments	307	2	True	False	False	True	0.390108627895529
video_on	action	14	meg	1	LyA3kbb0ggg	Chopping wood	Interior_maintenance&Repair&Decoration	Household Activities	Interior Maintenance, Repair, & Decoration	Heating and cooling	110	7	True	False	False	True	0.4712023630378326
video_on	action	14	meg	1	prSACsCL8Xg	Cutting the grass	Lawn&Garden&Houseplants	Household Activities	Lawn, Garden, and Houseplants	Lawn, garden, and houseplant care	301	9	True	False	False	True	0.7112194488760792
video_on	action	14	meg	1	LIoDJU_HwYg	Beer pong	Relaxing&Leisure	Socializing, Relaxing, and Leisure	Relaxing and Leisure	Playing games	280	3	True	False	False	True	0.3593127629098376
video_on	action	14	meg	1	fDVVwDesG6o	Shoveling snow	Exterior_maintenance&Repair&Decoration	Household Activities	Exterior Maintenance, Repair, & Decoration	Exterior cleaning	183	12	True	False	False	True	0.3914102910479187
video_on	action	14	meg	1	9wR5GOfGaPo	Cleaning sink	Interior_maintenance&Repair&Decoration	Household Activities	Interior Maintenance, Repair, & Decoration	Interior arrangement, decoration, & repairs	297	7	True	False	False	True	0.369167005012514
video_on	action	14	meg	1	uCdy8cnfWTA	Ice fishing	Participating_in_sports&Exercise&Recreation	Sports, Exercise, and Recreation	Participating in Sports, Exercise, or Recreation	Fishing	324	1	True	True	False	False	0.5359099944606669
video_on	action	14	meg	1	lTSSacV4SyA	Playing saxophone	Arts&Entertainment	Socializing, Relaxing, and Leisure	Arts and Entertainment	Playing musical instruments	109	2	True	False	False	True	0.3914655332456505
